D,peak1width,peak2width
0,14.049221049849297,14.043430678460552
500,16.12246610799921,16.017648822720304
1000,22.027486889021656,21.00576029046977
1500,34.023184988943655,29.068533567991306
2000,52.211251950079536,40.16660203309043
2500,64.5616334624089,48.88106408371524
3000,75.03127487166876,55.41917360624896
3500,85.90523524232898,60.732426256359844
4000,97.28881716108727,65.09637869933196
4500,108.56440007546257,68.75425178995137
5000,210.4434650286288,11.901577193006299
