D,peak1width,peak2width
0,16.839888328259963,16.825255230684448
500,19.23493997253164,19.064644665069864
1000,24.616814594282555,24.06696876224538
1500,31.57688168265313,30.395013934045043
2000,39.670331179729665,37.730183717487044
2500,48.88236589972014,46.31563838075283
3000,58.4153455983584,55.64212784206641
3500,67.21524303925735,64.55439079132078
4000,75.52288430842498,72.93843859185249
4500,83.57404329255743,80.96350566080501
5000,91.4225203846685,88.84133796213484
