D,peak1width,peak2width
0,15.665043703138078,15.665043703222217
500,17.856321882001836,18.06929383439146
1000,22.832528584901763,23.29429069629537
1500,28.74208622818305,29.532870034599117
2000,34.98984595342075,36.19221582592723
2500,41.3426639610702,43.15960788179685
3000,47.598433105218355,50.50494954120192
3500,53.60198991746308,58.135728911569316
4000,59.329841904457915,65.87339079009755
4500,64.86627159351879,73.61019980199981
5000,70.3179359230591,81.26825869790369
