D,peak1width,peak2width
0,36.73811924391619,37.001563220998165
500,35.34833814383866,37.54062105269006
1000,33.38797981480807,37.537205591946424
1500,31.161712753792454,37.55393885330987
2000,29.110830734045685,38.55592190905017
2500,27.82662914645933,41.287362147328736
3000,27.842148607573765,45.175165356290385
3500,29.4381714552586,49.360230503141686
4000,33.054496779393375,53.41539753372187
4500,39.61874748497624,56.30426850580907
5000,47.87146482671357,56.97414323910774
