D,peak1width,peak2width
0,61.7675797743138,61.07416627022173
500,62.79478132209427,59.92446910205769
1000,64.15105523507322,58.33362942489272
1500,66.30617752266284,56.00850026959179
2000,69.56229357741206,52.634586474457656
2500,73.66803745698996,48.25318284820068
3000,77.80422964043264,43.76878295493396
3500,81.32623193160559,40.05813088359085
4000,84.02364257488499,37.32229028723822
4500,85.78401617575256,35.52090525304084
5000,86.55151138319773,34.565794225127206
