D,peak1width,peak2width
0,14.557291128927234,14.534660766849527
500,16.696831577086936,16.348955734615778
1000,21.792421871185745,20.52665396750199
1500,29.974520794294904,26.277805446517366
2000,47.389288073669434,34.83246096693396
2500,64.27087322919805,45.024711435781384
3000,74.81756342209889,55.00338232668799
3500,84.98136572715303,64.6218874650509
4000,96.04568320664556,73.60213516121532
4500,108.22851544711565,81.8114182487476
5000,121.41972738221612,88.96930304640817
