D,peak1width,peak2width
0,16.685966026661905,16.666990321103505
500,19.4118507280652,19.182663673171056
1000,25.51019704812625,24.73141228587226
1500,33.2351696141297,31.537473713943342
2000,41.99420807153298,39.190460751754166
2500,51.655099906035765,47.751560010448166
3000,61.412966962698256,56.70109854873426
3500,70.51816773000772,65.38631960644209
4000,79.13339618447588,73.68410092172049
4500,87.44948457386685,81.6441552334009
5000,95.52175375177963,89.41052144803902
