D,peak1width,peak2width
0,14.313753662321805,14.29938002591511
500,16.416617814801896,16.152247355933127
1000,21.840924163090644,20.606163467536774
1500,31.682378567522136,27.25070741381489
2000,50.691601424873234,37.194977706599545
2500,64.62184870023721,46.877734221534915
3000,75.06571772586281,54.97377729177899
3500,85.78165488200091,62.006875386031496
4000,97.41511833931888,68.00770030813376
4500,109.71664777995271,72.83821298715233
5000,121.99072918548944,76.37358819776274
