D,peak1width,peak2width
0,16.80368464609222,16.786698599596786
500,19.364126094294143,19.1634763418141
1000,25.0785201491026,24.417185531566947
1500,32.37538943453767,30.94434123656663
2000,40.76622374678544,38.403060441426106
2500,50.212286409086694,46.982733951023555
3000,59.872043810796086,56.13277920716905
3500,68.82253476941312,64.91995360910592
4000,77.27823110071579,73.22994460179832
4500,85.4564697668298,81.17229394980406
5000,93.40801295817897,88.93574227632448
