0.000000000000000000e+00,9.968688147798285826e+00
8.000000000000000000e+02,1.473463790416086283e+02
1.600000000000000000e+03,7.293835987117219588e+01
2.400000000000000000e+03,4.151474122507705999e+01
3.200000000000000000e+03,2.422088034726157701e+01
4.000000000000000000e+03,1.496715258544849902e+01
4.800000000000000000e+03,1.102487166668885443e+01
5.600000000000000000e+03,9.579165043119640899e+00
6.400000000000000000e+03,8.373167232210226629e+00
7.200000000000000000e+03,6.593506135701616699e+00
8.000000000000000000e+03,5.542976458090580927e+00
8.800000000000000000e+03,4.432714944922699019e+00
9.600000000000000000e+03,3.052461421422908217e+00
1.040000000000000000e+04,1.000000000289065838e+01
1.120000000000000000e+04,1.000000000289093371e+01
1.200000000000000000e+04,1.000000000289089996e+01
1.280000000000000000e+04,1.000000000289063884e+01
1.360000000000000000e+04,1.000000000289098701e+01
1.440000000000000000e+04,1.000000000289066904e+01
1.520000000000000000e+04,1.000000000289072766e+01
1.600000000000000000e+04,1.000000000289089641e+01
1.680000000000000000e+04,1.000000000289070634e+01
1.760000000000000000e+04,1.000000000289098878e+01
1.840000000000000000e+04,1.000000000289088220e+01
1.920000000000000000e+04,1.000000000289053226e+01
2.000000000000000000e+04,1.000000000289111490e+01
2.080000000000000000e+04,1.000000000289065305e+01
2.160000000000000000e+04,1.000000000289099589e+01
2.240000000000000000e+04,1.000000000289050917e+01
2.320000000000000000e+04,1.000000000289079871e+01
2.400000000000000000e+04,1.000000000289135293e+01
2.480000000000000000e+04,1.000000000289097990e+01
2.560000000000000000e+04,1.000000000289126234e+01
2.640000000000000000e+04,1.000000000289132629e+01
2.720000000000000000e+04,1.000000000289146307e+01
2.800000000000000000e+04,1.000000000289089286e+01
2.880000000000000000e+04,1.000000000289042568e+01
2.960000000000000000e+04,1.000000000289100477e+01
3.040000000000000000e+04,1.000000000289132096e+01
3.120000000000000000e+04,1.000000000289144353e+01
3.200000000000000000e+04,1.000000000289022495e+01
3.280000000000000000e+04,1.000000000289124635e+01
3.360000000000000000e+04,1.000000000289075253e+01
3.440000000000000000e+04,1.000000000289099411e+01
3.520000000000000000e+04,1.000000000289036883e+01
3.600000000000000000e+04,1.000000000289045410e+01
3.680000000000000000e+04,1.000000000289152879e+01
3.760000000000000000e+04,1.000000000289139379e+01
3.840000000000000000e+04,1.000000000289080759e+01
3.920000000000000000e+04,2.593566830281161018e+01
4.000000000000000000e+04,1.000000000289026758e+01
4.080000000000000000e+04,2.536397129309490239e+01
4.160000000000000000e+04,5.986717846282496147e+00
4.240000000000000000e+04,1.000000000289032975e+01
4.320000000000000000e+04,1.000000000289274382e+01
4.400000000000000000e+04,5.378489579719062164e+01
4.480000000000000000e+04,8.908848166486169617e+00
4.560000000000000000e+04,1.408333321355724976e+01
4.640000000000000000e+04,1.680783726163919312e+01
4.720000000000000000e+04,1.015052131533307644e+01
4.800000000000000000e+04,3.036251900247130564e+01
4.880000000000000000e+04,2.407002285959532983e+01
4.960000000000000000e+04,1.028099941783418103e+01
5.040000000000000000e+04,1.993566491652347494e+01
5.120000000000000000e+04,7.234271959758126869e+00
5.200000000000000000e+04,8.698576279289303770e+00
5.280000000000000000e+04,5.986623084061425182e+00
5.360000000000000000e+04,7.495070880712182415e+00
5.440000000000000000e+04,1.318968463169021810e+01
5.520000000000000000e+04,1.166161955014031193e+01
5.600000000000000000e+04,2.698078527205038313e+01
5.680000000000000000e+04,4.022815870544488526e+00
5.760000000000000000e+04,9.532716025088131317e+00
5.840000000000000000e+04,1.258555262139504016e+01
5.920000000000000000e+04,1.435624211547872697e+01
6.000000000000000000e+04,7.727257232059567116e+01
6.080000000000000000e+04,8.549699043749994232e+00
6.160000000000000000e+04,2.244950507908493620e+01
6.240000000000000000e+04,1.827640416820302605e+01
6.320000000000000000e+04,1.047826356648271151e+01
6.400000000000000000e+04,8.320113873604652710e+00
