D,peak1width,peak2width
0,18.591895970813383,18.59189597110948
500,19.527105888567657,19.664663812733213
1000,22.552762959444728,22.896790712692987
1500,27.156697818409878,27.79170122381524
2000,32.598747275774784,33.61468709583836
2500,38.48264433812624,40.03523247651995
3000,44.58599582431489,46.94653559116888
3500,50.52083091945432,54.01944161527439
4000,56.08775403017829,61.0771884982075
4500,61.38356310733056,68.20355353320731
5000,66.5476369831707,75.45731950266
